url,source,is_keeper,repo,owner,org
https://github.com/nilmolne/Text-Mining-The-New-York-Times-Articles,github,False,Text-Mining-The-New-York-Times-Articles,nilmolne,nilmolne
https://github.com/datadesk/highschool-homicide-analysis,github,False,highschool-homicide-analysis,datadesk,Los Angeles Times
https://github.com/TheOregonian/long-term-care-db,github,True,long-term-care-db,TheOregonian,The Oregonian
https://github.com/lamthuyvo/cuny-advanced-data-journalism,github,False,cuny-advanced-data-journalism,lamthuyvo,lamthuyvo
https://github.com/jfilter/masters-thesis,github,False,masters-thesis,jfilter,jfilter
https://github.com/datadesk/mlbcolors,github,False,mlbcolors,datadesk,Los Angeles Times
https://github.com/rOpenGov/rtimes,github,False,rtimes,rOpenGov,rOpenGov
https://github.com/GolemMediaGmbH/OfficeTemperatureData,github,False,OfficeTemperatureData,GolemMediaGmbH,GolemMediaGmbH
https://github.com/computer-assisted-reporting/NICAR18,github,False,NICAR18,computer-assisted-reporting,computer-assisted-reporting
https://github.com/beecycles/Power_of_Irma,github,True,Power_of_Irma,beecycles,WUFT
https://github.com/beecycles/Endangered-Species-Act-Louisiana,github,True,Endangered-Species-Act-Louisiana,beecycles,NOLA
https://github.com/guardian/frontend,github,False,frontend,guardian,guardian
https://github.com/wireservice/lookup,github,False,lookup,wireservice,wireservice
https://github.com/securityfirst/Umbrella_content,github,False,Umbrella_content,securityfirst,securityfirst
https://github.com/smach/R4JournalismBook,github,False,R4JournalismBook,smach,smach
https://github.com/PARINetwork/pari,github,False,pari,PARINetwork,PARINetwork
https://github.com/dailybruin/the-stack,github,False,the-stack,dailybruin,dailybruin
https://github.com/ireapps/first-graphics-app,github,False,first-graphics-app,ireapps,ireapps
https://github.com/california-civic-data-coalition/californiacivicdata.org,github,False,californiacivicdata.org,california-civic-data-coalition,california-civic-data-coalition
https://github.com/19hundreds/risks-workflow,github,False,risks-workflow,19hundreds,19hundreds
https://github.com/TheStatePress/SalaryList,github,False,SalaryList,TheStatePress,TheStatePress
https://github.com/datadesk/responsive-fullscreen-header-example,github,False,responsive-fullscreen-header-example,datadesk,Los Angeles Times
https://github.com/gabrielacaesar/contra-as-fake-news,github,False,contra-as-fake-news,gabrielacaesar,gabrielacaesar
https://github.com/xinmeti/xinmeti.co,github,False,xinmeti.co,xinmeti,xinmeti
https://github.com/formicablu/hearingvoices,github,False,hearingvoices,formicablu,formicablu
https://github.com/ANCIR/InvestigativeCenters.org,github,False,InvestigativeCenters.org,ANCIR,ANCIR
https://github.com/profrobwells/Data-Analysis-Class-Jour-405v-5003,github,False,Data-Analysis-Class-Jour-405v-5003,profrobwells,profrobwells
https://github.com/meedan/montage-web,github,False,montage-web,meedan,meedan
